RM,LSTAT,PTRATIO,MEDV,crim
6.575,4.98,15.3,504000,0.00632
6.421,9.14,17.8,453600,0.02731
7.185,4.03,17.8,728700,0.02729
6.998,2.94,18.7,701400,0.03237
7.147,5.33,18.7,760200,0.06905
6.43,5.21,18.7,602700,0.02985
6.012,12.43,15.2,480900,0.08829
6.172,19.15,15.2,569100,0.14455
5.631,29.93,15.2,346500,0.21124
6.004,17.1,15.2,396900,0.17004
6.377,20.45,15.2,315000,0.22489
6.009,13.27,15.2,396900,0.11747
5.889,15.71,15.2,455700,0.09378
5.949,8.26,21,428400,0.62976
6.096,10.26,21,382200,0.63796
5.834,8.47,21,417900,0.62739
5.935,6.58,21,485100,1.05393
5.99,14.67,21,367500,0.7842
5.456,11.69,21,424200,0.80271
5.727,11.28,21,382200,0.7258
5.57,21.02,21,285600,1.25179
5.965,13.83,21,411600,0.85204
6.142,18.72,21,319200,1.23247
5.813,19.88,21,304500,0.98843
5.924,16.3,21,327600,0.75026
5.599,16.51,21,291900,0.84054
5.813,14.81,21,348600,0.67191
6.047,17.28,21,310800,0.95577
6.495,12.8,21,386400,0.77299
6.674,11.98,21,441000,1.00245
5.713,22.6,21,266700,1.13081
6.072,13.04,21,304500,1.35472
5.95,27.71,21,277200,1.38799
5.701,18.35,21,275100,1.15172
6.096,20.34,21,283500,1.61282
5.933,9.68,19.2,396900,0.06417
5.841,11.41,19.2,420000,0.09744
5.85,8.77,19.2,441000,0.08014
5.966,10.13,19.2,518700,0.17505
6.595,4.32,18.3,646800,0.02763
7.024,1.98,18.3,732900,0.03359
6.77,4.84,17.9,558600,0.12744
6.169,5.81,17.9,531300,0.1415
6.211,7.44,17.9,518700,0.15936
6.069,9.55,17.9,445200,0.12269
5.682,10.21,17.9,405300,0.17142
5.786,14.15,17.9,420000,0.18836
6.03,18.8,17.9,348600,0.22927
5.399,30.81,17.9,302400,0.25387
5.602,16.2,17.9,407400,0.21977
5.963,13.45,16.8,413700,0.08873
6.115,9.43,16.8,430500,0.04337
6.511,5.28,16.8,525000,0.0536
5.998,8.43,16.8,491400,0.04981
5.888,14.8,21.1,396900,0.0136
7.249,4.81,17.9,743400,0.01311
6.383,5.77,17.3,518700,0.02055
6.816,3.95,15.1,663600,0.01432
6.145,6.86,19.7,489300,0.15445
5.927,9.22,19.7,411600,0.10328
5.741,13.15,19.7,392700,0.14932
5.966,14.44,19.7,336000,0.17171
6.456,6.73,19.7,466200,0.11027
6.762,9.5,19.7,525000,0.1265
7.104,8.05,18.6,693000,0.01951
6.29,4.67,16.1,493500,0.03584
5.787,10.24,16.1,407400,0.04379
5.878,8.1,18.9,462000,0.05789
5.594,13.09,18.9,365400,0.13554
5.885,8.79,18.9,438900,0.12816
6.417,6.72,19.2,508200,0.08826
5.961,9.88,19.2,455700,0.15876
6.065,5.52,19.2,478800,0.09164
6.245,7.54,19.2,491400,0.19539
6.273,6.78,18.7,506100,0.07896
6.286,8.94,18.7,449400,0.09512
6.279,11.97,18.7,420000,0.10153
6.14,10.27,18.7,436800,0.08707
6.232,12.34,18.7,445200,0.05646
